cod_cim,matched_symptoms
W43451001,['antimetaboliti analogi ai bazelor pirimidinice']
W43451002,['antimetaboliti analogi ai bazelor pirimidinice']
W43451003,['antimetaboliti analogi ai bazelor pirimidinice']
W43451004,['antimetaboliti analogi ai bazelor pirimidinice']
W43451005,['antimetaboliti analogi ai bazelor pirimidinice']
W43451006,['antimetaboliti analogi ai bazelor pirimidinice']
W70067001,['antivirale cu actiune directa inhib. nucleozidici si nucleotidici ai reverstranscriptazei']
W68224001,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224002,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224003,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224004,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224005,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224006,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224007,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W68224008,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W66762001,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W66762002,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W66762003,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W65906001,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W65906002,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W65906003,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W65906004,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W69243001,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W69243002,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W69243003,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W69243004,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W69243005,"['combinatii', 'antivirale cu actiune directa antivirale pentru tratamentul infectiei cu hiv']"
W65161001,"['injectabile', 'insuline si alte preparate parenterale insuline si analogi cu actiune de lunga durata']"
W65160002,"['injectabile', 'insuline si alte preparate parenterale insuline si analogi cu actiune de lunga durata']"
W69799001,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799002,['agenti antitrombotici inhibitori directi ai factorului xa']
W69799003,['agenti antitrombotici inhibitori directi ai factorului xa']
